Load Shape,PV Shape
0.9,0
0.846,0
0.81,0
0.837,0
0.783,0
0.756,0
0.738,0
0.747,0
0.729,0
0.747,0
0.756,0
0.729,0
0.709,0
0.688,0
0.677,0
0.661,0
0.651,0
0.645,0
0.612,0
0.5904,0
0.576,0
0.5616,0
0.5472,0
0.576,0
0.5472,0
0.5616,0
0.54,0
0.5472,0
0.5328,0
0.5328,0
0.5256,0
0.5256,0.025289
0.5256,0.063888
0.5184,0.103818
0.4968,0.150403
0.5112,0.198319
0.504,0.246235
0.504,0.299475
0.504,0.350053
0.4968,0.400631
0.4968,0.45254
0.4896,0.499125
0.4968,0.548372
0.4896,0.593626
0.4968,0.636218
0.5112,0.676148
0.4968,0.716078
0.4824,0.752015
0.468,0.786621
0.4752,0.814572
0.4824,0.842523
0.4968,0.86515
0.4968,0.889108
0.4968,0.907742
0.504,0.923714
0.54,0.933031
0.5256,0.943679
0.5184,0.950334
0.5184,0.951665
0.54,0.946341
0.576,0.942348
0.5616,0.933031
0.5472,0.921052
0.577,0.906411
0.598,0.889108
0.617,0.86515
0.633,0.83853
0.651,0.806586
0.685,0.777304
0.717,0.742698
0.738,0.706761
0.747,0.669493
0.783,0.629563
0.819,0.584309
0.819,0.537724
0.792,0.489808
0.81,0.440561
0.801,0.389983
0.819,0.336743
0.837,0.282172
0.81,0.236918
0.846,0.182347
0.837,0.134431
0.873,0.005324
0.828,0
0.864,0
0.828,0
0.837,0
0.855,0
0.846,0
0.855,0
0.873,0
0.855,0
0.837,0
0.819,0
0.828,0
